khong	không	15353	1
benh	bệnh	13915	1
thuoc	thuốc	13715	1
khi	khí	9751	1
vi	vị	8818	1
dau	đau	8452	1
nguoi	người	8121	1
tri	trị	7996	1
huyet	huyết	7549	1
nhieu	nhiều	6251	1
chi	chỉ	5850	1
dieu	điều	5745	1
nhan	nhân	5363	1
chung	chứng	5112	1
nhiet	nhiệt	5108	1
ngay	ngày	4954	1
tieu	tiêu	4806	1
mach	mạch	4744	1
dong	động	4633	1
than	thần	4474	1
mau	máu	4371	1
duong	dương	4315	1
duoc	dược	4300	1
phan	phân	4163	1
chan	chân	3882	1
hoa	hóa	3786	1
tang	tăng	3731	1
viem	viêm	3409	1
tam	tâm	3311	1
thong	thông	3159	1
deu	đều	3074	1
ung	ứng	3067	1
ngoai	ngoài	2995	1
thap	thấp	2979	1
dai	dài	2909	1
han	hàn	2830	1
doc	độc	2826	1
cam	cảm	2747	1
bo	bổ	2634	1
giai	giải	2625	1
phu	phụ	2598	1
hoang	hoàng	2581	1
dieu tri	điều trị	2413	2
hoat	hoạt	2376	1
noi	nội	2316	1
lien	liên	2309	1
cuu	cứu	2308	1
thuong	thương	2297	1
tan	tán	2280	1
than kinh	thần kinh	2275	2
hat	hạt	2236	1
vat	vật	2234	1
bung	bụng	2220	1
thao	thảo	2137	1
bach	bạch	2128	1
xuong	xương	2118	1
tich	tích	2066	1
ty	tỳ	2031	1
phe	phế	1996	1
sot	sốt	1901	1
khang	kháng	1873	1
hoan	hoàn	1784	1
nong	nóng	1774	1
chay	chảy	1699	1
chua benh	chữa bệnh	1690	2
giua	giữa	1663	1
bieu	biểu	1631	1
kho	khó	1615	1
tao	táo	1611	1
mat	mất	1601	1
lanh	lạnh	1584	1
phan duoc	phần dược	1573	2
co phan duoc	cổ phần dược	1567	3
trong	trọng	1562	1
ngu	ngủ	1530	1
khuan	khuẩn	1515	1
lung	lưng	1480	1
bai thuoc	bài thuốc	1444	2
lam thuoc	làm thuốc	1433	2
khop	khớp	1416	1
dia	địa	1387	1
chi dinh	chỉ định	1376	2
phan ung	phản ứng	1321	2
khong co	không có	1305	2
mon	môn	1288	1
chu tri	chủ trị	1286	2
kich	kích	1266	1
thien	thiên	1256	1
benh nhan	bệnh nhân	1253	2
khi cong	khí công	1228	2
sam	sâm	1221	1
nhuc	nhức	1215	1
phuc	phục	1206	1
day	dày	1204	1
lau	lâu	1188	1
hoi	hôi	1176	1
huyet ap	huyết áp	1155	2
vi tri	vị trí	1108	2
tru	trừ	1104	1
duoc pham	dược phẩm	1098	2
cau	câu	1055	1
huong	hương	1048	1
mo hoi	mồ hôi	1044	2
ruou	rượu	1017	1
phan tich	phân tích	1015	2
nguyen nhan	nguyên nhân	984	2
nhe	nhẹ	955	1
cam thao	cam thảo	948	2
nguoi ta	người ta	943	2
ap huyet	áp huyết	940	2
son	sơn	930	1
vi thuoc	vị thuốc	918	2
dom	đờm	908	1
kich thich	kích thích	906	2
dai cm	dài cm	898	2
nhuoc	nhược	887	1
phan duoc pham	phần dược phẩm	874	3
ngon tay	ngón tay	872	2
da day	dạ dày	867	2
dung thuoc	dùng thuốc	835	2
co vi	có vị	805	2
dau bung	đau bụng	805	2
ban	bán	791	1
chi dinh va	chỉ định và	788	3
xuyen	xuyên	782	1
dung chi	dụng chỉ	780	2
thanh nhiet	thanh nhiệt	770	2
lac	lạc	769	1
cong dung chi	công dụng chỉ	764	3
khang sinh	kháng sinh	762	2
dung chi dinh	dụng chỉ định	758	3
cac vi	các vị	754	2
nghien cuu	nghiên cứu	751	2
kem	kém	745	1
co nhieu	có nhiều	743	2
keo	kéo	739	1
hong	họng	729	1
que	quế	727	1
den	đen	727	1
trung uong	trung ương	721	2
dam	đàm	720	1
thu	thủ	719	1
luc	lục	717	1
lam tang	làm tăng	715	2
kien	kiện	713	1
ban tay	bàn tay	704	2
tinh vi	tính vị	700	2
chuyen hoa	chuyển hóa	690	2
khuong	khương	685	1
duoc lieu	dược liệu	681	2
ich	ích	675	1
nguoi benh	người bệnh	662	2
moi	mỏi	660	1
trieu chung	triệu chứng	659	2
tieu hoa	tiêu hóa	654	2
suy nhuoc	suy nhược	642	2
giam dau	giảm đau	638	2
hoat dong	hoạt động	630	2
truat	truật	628	1
mun	mụn	624	1
khi huyet	khí huyết	620	2
tran	trần	612	1
cac benh	các bệnh	610	2
khong phai	không phải	605	2
trung quoc	trung quốc	605	2
duoc pham opc	dược phẩm opc	601	3
vi tac	vị tác	588	2
vi tac dung	vị tác dụng	588	3
cac thuoc	các thuốc	585	2
bieu hien	biểu hiện	583	2
ha noi	hà nội	579	2
giai doc	giải độc	577	2
con nguoi	con người	575	2
khong duoc	không được	569	2
khong the	không thể	568	2
khu	khử	567	1
thuoc co	thuốc có	566	2
nhuan	nhuận	562	1
bon	bón	557	1
goi	gối	557	1
dieu hoa	điều hòa	553	2
khong dung	không dùng	548	2
chung benh	chứng bệnh	543	2
thuoc thang	thuốc tháng	542	2
kim sau	kim sâu	541	2
tinh vi tac	tính vị tác	541	3
tri benh	trị bệnh	540	2
trong co	trong cơ	533	2
nhot	nhọt	531	1
keo dai	kéo dài	529	2
vi ngot	vị ngọt	529	2
tich theo	tích theo	527	2
cac chung	các chứng	526	2
phan tich theo	phân tích theo	526	3
phu nu	phụ nữ	525	2
thuoc thang tccs	thuốc tháng tccs	524	3
thong tin	thông tin	523	2
met	mệt	521	1
lieu lam thuoc	liệu làm thuốc	520	3
lam thuoc thang	làm thuốc tháng	519	3
am duong	âm dương	517	2
tinh dau	tinh dầu	516	2
chay mau	chảy máu	509	2
ma khong	mà không	508	2
dieu chinh	điều chỉnh	506	2
dem	đêm	502	1
bat	bát	494	1
mat ngu	mất ngủ	494	2
duoc ly	dược lý	493	2
bi benh	bị bệnh	491	2
sinh vien	sinh viên	490	2
trong co the	trong cơ thể	489	3
dong tac	động tác	489	2
ngua	ngứa	486	1
an than	an thần	484	2
loi tieu	lợi tiểu	483	2
vi khuan	vi khuẩn	482	2
kim sau thon	kim sâu thốn	477	3
moi ngay	mỗi ngày	477	2
ton thuong	tổn thương	476	2
ty vi	tỳ vị	476	2
nhiet do	nhiệt độ	475	2
dau dau	đau đầu	468	2
cham cuu	châm cứu	467	2
theo dong	theo đông	466	2
trong ngay	trong ngày	465	2
tang cuong	tăng cường	465	2
